title,Accession Number,NAID,Date,Restrictions,Description,Original Format(s),Speakers,Institutional Creator,Recording Speed,Excerpt or Complete,HST Keywords,Keywords,People Mentioned,Related Collection,Preservation,Internal Note,Place,Changed,Production and Copyright,Sound Recording
President Truman's Remarks at the Young Democrats Dinner,SR2000-16,,14-May-48,Unrestricted,"President Harry S. Truman's remarks at the Young Democrats Dinner. The President spoke at 10:30 p.m. at the Mayflower Hotel in Washington. In his opening words he referred to Roy G. Baker, President of the Young Democrats, and to Senator J. Howard McGrath of Rhode Island, Chairman of the Democratic National Committee. The remarks were carried on a nationwide radio broadcast.",reel-to-reel,"Truman, Harry S., 1884-1972",,7-1/2 ips,,,"Presidential campaign, 1948",,,,,"Washington (D.C.), Mayflower Hotel","Fri, 01/24/2025 - 10:17",Mutual Broadcasting System,https://www.trumanlibrary.gov/sites/default/files/2024-12/33-HST-SR2000-16.mp3
President Truman's Address in Montana at the Dedication of the Hungry Horse Dam,SR59-103,329251767,1-Oct-52,Unrestricted,"President Harry S. Truman's address in Montana at the Dedication of the Hungry Horse Dam. The President spoke at 11:05 a.m. at the site of the new dam near Kalispell, Mont. During his address he referred to Governor John W. Bonner, Representative Mike Mansfield, Democratic candidate for Senator, and Senator James E. Murray, all of Montana. He also referred to Oscar L. Chapman, Secretary of the Interior, and Representative W. F. Nortell of Arkansas.","disc, 16-inch","Truman, Harry S., 1884-1972",,,Complete,,"Presidential campaign, 1952",,,"Master and reference reel-to-reel audio tapes at 7-1/2 i.p.s. from NARA, ca. 1980s; reel-to-reel audio tape and cd from Cutting Corp., ca. 2001.",Origin is listed as TLC-Rose Garden,Hungry Horse Dam (Mont.),"Fri, 11/29/2024 - 10:27",U.S. Army Signal Corps,https://www.trumanlibrary.gov/sites/default/files/sound_recordings_files/sr59-103.mp3
"President Truman's Rear Platform Remarks, Troy, MT",SR59-109,325598953,1-Oct-52,Unrestricted,"President Harry S. Truman's rear platform remarks, Troy, MT, 4:05 p.m.","disc, 16-inch","Truman, Harry S., 1884-1972",,,Complete,,"Presidential campaign, 1952",,,"Master and reference reel-to-reel audio tapes at 7-1/2 i.p.s. from NARA, ca. 1980s; reel-to-reel audio tape and cd from Cutting Corp., ca. 2001.",Origin is listed as TLC-Rose Garden,Troy (Mont.),"Tue, 11/26/2024 - 16:38",U.S. Army Signal Corps,https://www.trumanlibrary.gov/sites/default/files/sound_recordings_files/sr59-109.mp3
"President Truman's Rear Platform Remarks, Sandpoint, ID",SR59-112,329251777,1-Oct-52,Unrestricted,"President Harry S. Truman's rear platform remarks, Sandpoint, ID, 5:00 p.m.","disc, 16-inch","Truman, Harry S., 1884-1972",,,Complete,,"Presidential campaign, 1952",,,"Master and reference reel-to-reel audio tapes at 7-1/2 i.p.s. from NARA, ca. 1980s; reel-to-reel audio tape and cd from Cutting Corp.",Origin is listed as TLC-Rose Garden,Sandpoint (Idaho),"Tue, 11/26/2024 - 15:43",U.S. Army Signal Corps,https://www.trumanlibrary.gov/sites/default/files/sound_recordings_files/sr59-112.mp3
"President Truman's Address in Seattle, Washington",SR59-119,325598970,2-Oct-52,Unrestricted,"President Harry S. Truman's address at the Auditorium of the Fraternal Order of Eagles, Senate Hotel, Seattle, Washington, 5:35 p.m. The meeting was sponsored by the King County Democratic Central Committee.","disc, 16-inch","Truman, Harry S., 1884-1972",,,Complete,,"Presidential campaign, 1952",,,"Master and reference reel-to-reel audio tape at 7-1/2 i.p.s. from NARA, ca. 1980\'s; reel-to-reel audio tape and cd from Cutting Corp., ca. 2001.",Origin is listed as TLC-Rose Garden,Seattle (Wash.),"Tue, 11/26/2024 - 10:36",U.S. Army Signal Corps,https://www.trumanlibrary.gov/sites/default/files/sound_recordings_files/sr59-119.mp3
"President Truman's Rear Platform Remarks, Dunsmuir, CA",SR59-122,329251781,3-Oct-52,Unrestricted,"President Harry S. Truman's rear platform remarks, Dunsmuir, CA, 11:55 a.m.","disc, 16-inch","Truman, Harry S., 1884-1972",,,Complete,,"Presidential campaign, 1952",,,"Master and reference reel-to-reel audio tapes at 7-1/2 i.p.s. from NARA, ca. 1980s; reel-to-reel audio tape and cd from Cutting Corp., ca. 2001.",Origin is listed as TLC-Rose Garden,Dunsmuir (Calif.),"Tue, 11/26/2024 - 14:14",U.S. Army Signal Corps,https://www.trumanlibrary.gov/sites/default/files/sound_recordings_files/sr59-122.mp3
"President Truman's Speech in Redding, CA",SR59-123,325598978,3-Oct-52,Unrestricted,"President Harry S. Truman, speech given at the Shasta College Stadium, Redding, CA, at 3:40 p.m.","disc, 16-inch","Truman, Harry S., 1884-1972",,,Complete,,"Presidential campaign, 1952",,,"Master and reference reel-to-reel audio tapes at 7-1/2 i.p.s. from NARA, ca. 1980s; reel-to-reel audio tape and cd from Cutting Corp., ca. 2001.",Origin is listed as TLC-Rose Garden,Redding (Calif.),"Wed, 11/27/2024 - 11:16",U.S. Army Signal Corps,https://www.trumanlibrary.gov/sites/default/files/sound_recordings_files/sr59-123.mp3
"President Truman's Rear Platform Remarks, Red Bluff, CA",SR59-124,325598980,3-Oct-52,Unrestricted,"President Harry S. Truman's rear platform remarks, Red Bluff, CA, 4:55 p.m.","disc, 16-inch","Truman, Harry S., 1884-1972",,,Complete,,"Presidential campaign, 1952",,,"Master and reference reel-to-reel audio tapes at 7-1/2 i.p.s. from NARA, ca. 1980s; reel-to-reel audio tape and cd from Cutting Corp., ca. 2001.",Origin is listed as TLC-Rose Garden,Red Bluff (Calif.),"Tue, 11/26/2024 - 15:31",U.S. Army Signal Corps,https://www.trumanlibrary.gov/sites/default/files/sound_recordings_files/sr59-124.mp3
"President Truman's Rear Platform Remarks, Grand Junction, CO",SR59-132,325598990,6-Oct-52,Unrestricted,"President Harry S. Truman's rear platform remarks, Grand Junction, CO, 5:05 p.m.","disc, 16-inch","Truman, Harry S., 1884-1972",,,Complete,,"Presidential campaign, 1952",,,"Audio reel-to-reel tape at 7-1/2 i.p.s., master and reference copies from NARA, ca. 1980s; audio reel-to-reel tape and cd from Cutting Corp., ca. 2001.",Origin is listed as TLC-Rose Garden,Grand Junction (Colo.),"Tue, 11/26/2024 - 14:34",U.S. Army Signal Corps,https://www.trumanlibrary.gov/sites/default/files/sound_recordings_files/sr59-132.mp3
"President Truman's Rear Platform Remarks, Glenwood Springs, CO",SR59-134,325598994,6-Oct-52,Unrestricted,"President Harry S. Truman's rear platform remarks, Glenwood Springs, CO, 7:50 p.m.","disc, 16-inch","Truman, Harry S., 1884-1972",,,Complete,,"Presidential campaign, 1952",,,"Master and reference reel-to-reel audio tapes at 7-1/2 i.p.s. from NARA, ca. 1980s; reel-to-reel audio tape and cd from Cutting Corp, ca. 2001.",Origin is listed as TLC-Rose Garden,Glenwood Springs (Colo.),"Tue, 11/26/2024 - 14:32",U.S. Army Signal Corps,https://www.trumanlibrary.gov/sites/default/files/sound_recordings_files/sr59-134.mp3
